epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,8635.22,0.24707,0.18511,0.80488,0.97591,0.97061,0.995,0.92183,0.40246,0.22372,0.80445,0.0001882,0.0001882,0.0001882
166,8687.6,0.23777,0.17839,0.80796,0.98179,0.96994,0.995,0.9212,0.39538,0.21889,0.80367,0.00018325,0.00018325,0.00018325
167,8739.9,0.23595,0.17657,0.81198,0.98227,0.96852,0.995,0.92128,0.39297,0.21678,0.80311,0.0001783,0.0001783,0.0001783
168,8792.91,0.23691,0.17864,0.8122,0.98114,0.96909,0.995,0.91821,0.39235,0.21532,0.8039,0.00017335,0.00017335,0.00017335
169,8844.99,0.24215,0.18145,0.81454,0.98127,0.9691,0.995,0.92101,0.38654,0.22061,0.80204,0.0001684,0.0001684,0.0001684
170,8897.06,0.23613,0.17431,0.81242,0.98301,0.96882,0.995,0.91927,0.39274,0.2153,0.79832,0.00016345,0.00016345,0.00016345
171,8950.26,0.23302,0.17962,0.812,0.9821,0.96998,0.995,0.9228,0.39809,0.21946,0.79843,0.0001585,0.0001585,0.0001585
172,9005.96,0.23454,0.17923,0.80966,0.9804,0.9664,0.995,0.92058,0.39499,0.22051,0.79964,0.00015355,0.00015355,0.00015355
173,9061.15,0.23796,0.17871,0.81348,0.97831,0.96364,0.995,0.92302,0.39335,0.22548,0.80332,0.0001486,0.0001486,0.0001486
174,9117.4,0.24139,0.18336,0.81298,0.98,0.96705,0.995,0.92501,0.38993,0.21849,0.80369,0.00014365,0.00014365,0.00014365
175,9175.16,0.23013,0.17534,0.8104,0.98145,0.96563,0.995,0.92262,0.38515,0.2192,0.80416,0.0001387,0.0001387,0.0001387
176,9227.64,0.23724,0.17462,0.81104,0.9513,0.99665,0.995,0.92137,0.38915,0.21685,0.8039,0.00013375,0.00013375,0.00013375
177,9281.15,0.23011,0.17246,0.81107,0.95668,0.9962,0.99391,0.91686,0.39247,0.2176,0.80356,0.0001288,0.0001288,0.0001288
